index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,poiInfo/relation,entranceCoords,streetPanorama,shortAddress/2,context/0,context/1,context/2,context/3,context/4,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,categoryPath/0/3,markerLabel/text,markerLabel/style,markerLabel/meta/type,markerLabel/meta/raw/minPrice,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk,skyPanorama,categoryPath/1/3,shortAddress
10,31,1195641360,호텔얌 광주구시청점,0503-5051-4978,false,,1,숙박,모텔,221941,221946,230775,광주광역시 동구 학동 95-7,광주광역시 동구 양림로115번길 15,학동 95-7,광주 동구,양림로115번길 15,<b>호텔</b>얌 <b>광주</b>구시청점,0503-5051-4978,1,d93f5a6a24554c56e811ba3fcd646d37,0,http://ldb.phinf.naver.net/20190719_33/1563481115948NzCk1_JPEG/5d30099aa88065.52423765.jpg,s,1,1,126.9190402,35.1404941,12,false,MTvCdG19tGUcVJ3Pk+bSzA==,59.31,10.00,126.9187270,35.1403080,120,QCsIM/Qr7vkugMM9hRRNww==,95.73,-30.00,126.9150009,35.1408958,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.919158,35.140608,true,126.919158,35.140608,false,,"숙박 스탠다드 얌 오픈특별가 진행중 38,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5575.63,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,32,1708733463,K호텔,062-523-7272,false,,1,숙박,모텔,221941,221946,230778,광주광역시 북구 신안동 143-3,광주광역시 북구 중흥로 92,신안동 143-3,광주 북구,중흥로 92,K<b>호텔</b>,062-523-7272,13,653ad9a8329748ca849b7b4e5eefdb63,0,http://ldb.phinf.naver.net/20200830_14/1598717728707RUnjO_JPEG/b9c2f6833ea688bb415ef14ebd104491.jpg,s,1,1,126.9040893,35.1635465,12,false,C8/UxzAMBgZj5gGjO4CzYw==,-175.85,10.00,126.9040995,35.1636840,120,kSSZGxr70Frg2U6dEYwjaQ==,-82.32,-30.00,126.9066696,35.1631966,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,"숙박 파티룸207 100,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2975.82,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,33,1709242731,호텔 더자,062-227-5559,false,,1,숙박,모텔,221941,221946,230778,광주광역시 동구 대인동 316-5,광주광역시 동구 동계천로6번길 11-6,대인동 316-5,광주 동구,동계천로6번길 11-6,<b>호텔</b> 더자,062-227-5559,2,05bf1e31ff85497c5c4d78fdbacf3773,0,http://ldb.phinf.naver.net/20190810_160/15653817117772pw4F_JPEG/5d4cf4487335c0.66130304.jpg,s,1,1,126.9139906,35.1557129,12,false,yMzFAPZXyNdp3sDgpdNrGQ==,151.09,10.00,126.9139285,35.1558250,120,TUlPoNUjp3iqHe0Vs+1Y6w==,-87.52,-30.00,126.9152222,35.1556587,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.913915,35.155755,true,126.913915,35.155755,false,,"숙박 디럭스 30,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4181.05,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,34,16050501,월드원,062-375-8474,false,,1,숙박,호텔,221941,221942,222293,광주광역시 서구 치평동 1218-3,광주광역시 서구 상무연하로 68,치평동 1218-3,광주 서구,상무연하로 68,월드원,062-375-8474,0,29c269b1038b78f01086ac9505aaef4b,0,,s,1,1,126.8504604,35.1543188,12,false,xiFYWZa1efgpW8Fmb//bPA==,85.08,10.00,126.8501889,35.1542952,120,1lr4prEjAHz579wA7Ziwvw==,-93.34,-30.00,126.8516693,35.1543884,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.8502978,35.1543238,true,126.8502978,35.1543238,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3160.80,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,35,37402153,라마다플라자광주호텔 쉥카이,062-717-7730,false,,1,중식,중식당,220036,220039,220091,광주광역시 서구 치평동 1238-3 3층,광주광역시 서구 상무자유로 149 3층,치평동 1238-3 3층,광주 서구,상무자유로 149,라마다플라자<b>광주호텔</b> 쉥카이,062-717-7730,96,650238ba9309b136b99b3dca6fef043d,0,,s,1,1,126.8505231,35.1520047,12,false,ljzgCC7bZkoaC34xAPYlmA==,-5.01,10.00,126.8505508,35.1516883,120,rGUKMNbbRkbwJQFnG/w+lg==,-97.42,-30.00,126.8516693,35.1521530,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.ramadagwangju.com/ramada/sub02_02.asp,,true,126.8506944,35.1518558,true,126.8506944,35.1518558,false,매일 11:30~22:00 Break time 15:00~18:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3348.10,nres://marker/00063-00122,nres://marker/00063-00276,,,,,,,,,,,3층,코스요리,칠리새우,탕수육,짜장면,레스토랑,false,126.8503022,35.1520472,220861,,,,,,,,,,,
15,36,1239477043,S호텔,062-222-0001,false,0507-1386-0155,1,숙박,모텔,221941,221946,230778,광주광역시 동구 광산동 100-13,광주광역시 동구 문화전당로35번길 12-8,광산동 100-13,광주 동구,문화전당로35번길 12-8,S<b>호텔</b>,062-222-0001,4,9756279df177ae3dded67726608d897f,0,http://ldb.phinf.naver.net/20200918_148/1600373781036ESxYQ_JPEG/5f62f81d26d445.23680532.jpg,s,1,1,126.9178782,35.1457892,8,false,,,,,,,RuevAPAtBHwL2DNH5YjSlQ==,82.60,-30.00,126.9148788,35.1453972,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,https://kjshotel.modoo.at,,,,,,,,false,,"숙박 디럭스 스타일러 (공기청정기) 45,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5106.81,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,"￦40,000~",default,LODGING,40000,,,,,,,
16,37,1763045558,호텔 메이킹,062-453-2200,false,,1,숙박,모텔,221941,221946,230778,광주광역시 서구 치평동 1259-1,광주광역시 서구 상무연하로 8,치평동 1259-1,광주 서구,상무연하로 8,<b>호텔</b> 메이킹,062-453-2200,5,c42ba4a45d4015d369057d0656216083,0,http://ldb.phinf.naver.net/20190320_252/1553026725082jCWJp_JPEG/5c46a77b6c12d3.10772986.jpg,s,1,1,126.8505069,35.1489632,12,false,BFfFStrD/uFCfLafSrBR7A==,95.12,10.00,126.8501802,35.1489922,120,tx/yOAeRA1TyNvuLHilWQw==,-81.91,-30.00,126.8519440,35.1487579,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.850315,35.148942,true,126.850315,35.148942,false,,"숙박 일반실 50,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3612.88,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,38,1873283789,호텔뷰,062-575-0001,false,0507-1476-0095,1,숙박,모텔,221941,221946,230778,광주광역시 북구 오룡동 1114-7,광주광역시 북구 앰코로 28,오룡동 1114-7,광주 북구,앰코로 28,<b>호텔</b>뷰,062-575-0001,1,4640ee20d590ddf5bf9dae394f65cc7d,0,http://ldb.phinf.naver.net/20200731_187/1596170240669wLTdT_JPEG/5e27de3b78ff64.62017791.jpg,s,1,1,126.8531193,35.2203806,12,false,1PeTT6v3Vs5+3P9FW3g+XQ==,101.42,10.00,126.8529338,35.2204179,120,qRI/JWvCnZBylnjizgybPA==,76.34,-30.00,126.8521576,35.2201462,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.853031,35.220414,true,126.853031,35.220414,false,,"숙박 디럭스-넷플릭스(무료조식, 공기청정기) 45,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5424.73,nres://marker/00063-00003,nres://marker/00063-00156,,,,,222606,222607,1004452,,,,,,,,,,false,126.853352,35.220377,,"￦45,000~",default,LODGING,45000,false,126.853352,35.220377,,,,
18,39,1399419495,블루밍캣,062-456-5502,false,0507-1308-5502,1,반려동물,반려동물호텔,223267,223272,223316,광주광역시 북구 운암동 68,광주광역시 북구 서강로54번길 50 201동상가 214호,운암동 68,광주 북구,서강로54번길 50,블루밍캣,062-456-5502,0,7e45a7268dfa76394fde76c1339b86f6,0,http://ldb.phinf.naver.net/20200210_256/1581324672482g6JK1_JPEG/8KCJkIDD6oV-Ekohj_GSCSn5.jpg,s,1,1,126.8760386,35.1749368,12,false,2qXGdj047ChhM0Hr9xOYAQ==,91.59,10.00,126.8758865,35.1749409,120,JAsy2psZMl3MqUDf+raFMg==,-89.92,-30.00,126.8788910,35.1749306,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.bloomingcat.com,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,144.62,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,,,,,201동상가 214호,,,,,,,,,,,,,,,,,,,,
19,40,1037142248,디바인호텔,062-250-0700,false,0507-1484-0704,1,숙박,모텔,221941,221946,230778,광주광역시 동구 학동 70-3,광주광역시 동구 양림로119번길 5,학동 70-3,광주 동구,양림로119번길 5,디바인<b>호텔</b>,062-250-0700,0,b5ea243ee6b70bbc91db60990345975e,0,http://ldb.phinf.naver.net/20200814_82/1597386979997sxlo8_JPEG/5ebe53b7836d77.64763140.JPG,s,1,1,126.9203147,35.1402579,12,false,xefg8UQAwcYHCyYB8rlbqg==,-113.89,10.00,126.9205895,35.1403793,120,qTrDb9dGSShRSyMn14YcOg==,86.40,-30.00,126.9150009,35.1399193,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,"숙박 스탠다드 (공기청정기,노트북PC, 금연) 40,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5678.37,nres://marker/00063-00003,nres://marker/00063-00156,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,
20,41,1865229280,호텔야자 광주역점,0503-5051-9280,false,,1,숙박,모텔,221941,221946,222251,광주광역시 북구 신안동 120-13,광주광역시 북구 중흥로91번길 12,신안동 120-13,광주 북구,중흥로91번길 12,<b>호텔</b>야자 <b>광주</b>역점,0503-5051-9280,16,0b8f6e1203cd67f2f79caee22d2dc19e,0,http://ldb.phinf.naver.net/20190527_196/1558945011938NFSR2_JPEG/NjTNSmKppzxYb2e6tIlGPSxQ.jpg,s,1,1,126.9046887,35.1641414,12,false,dF7uWozaUAC7C6UcfLOxzA==,123.12,10.00,126.9045708,35.1642182,120,rxBNsgo0YfFxoZKdhtftww==,-96.89,-30.00,126.9066696,35.1643791,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,https://www.yanolja.com/motel/3018430,,true,126.904594,35.164158,true,126.904594,35.164158,false,,YAJA 광주역점 숙박 가격 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,2998.35,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,42,1235718817,중흥동여기조아호텔,062-515-5009,false,0507-1469-5012,1,숙박,모텔,221941,221946,230778,광주광역시 북구 중흥동 717-3,광주광역시 북구 중가로85번길 7,중흥동 717-3,광주 북구,중가로85번길 7,중흥동여기조아<b>호텔</b>,062-515-5009,0,dd4b226540beb29e402e316b3661f2fc,0,http://ldb.phinf.naver.net/20200804_193/1596523310316OYGE9_JPEG/5e0afc25529b21.28771048.jpg,s,1,1,126.9094379,35.1588278,8,false,Jj9unfS9Bi0XHK4OBJDHBw==,-69.48,10.00,126.9095331,35.1587921,120,zRWjNRje/Vomgk4uoJt3sw==,95.14,-30.00,126.9063873,35.1590996,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.90951,35.15885,true,126.90951,35.15885,false,,"숙박 디럭스룸 33,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3648.99,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,false,126.909442,35.158961,,,,
22,43,36917664,하바나 호텔,062-384-6600,false,,1,숙박,모텔,221941,221946,230778,광주광역시 서구 치평동 1231-2,광주광역시 서구 상무중앙로78번길 20,치평동 1231-2,광주 서구,상무중앙로78번길 20,하바나 <b>호텔</b>,062-384-6600,1,79acd433d3dd5f93882b04d58cfdcf2e,0,http://ldb.phinf.naver.net/20180105_217/1515097040481YFulu_JPEG/5a4decb422d965.00644627.JPG,s,1,1,126.8507290,35.1535525,12,false,RU7EvzV2+KfMrZ14P2ZpBg==,172.55,10.00,126.8506818,35.1539099,120,MtQ+qKPdzthfpnzHGRtV0A==,-65.62,-30.00,126.8516693,35.1531258,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://havanahotel.co.kr/,,,,,,,,false,,"숙박 비즈니스 65,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3206.52,nres://marker/00063-00003,nres://marker/00063-00156,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,
