index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,categoryPath/1/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,poiInfo/relation/detail/4/type,poiInfo/relation/detail/4/sid,poiInfo/relation/detail/4/fullName,poiInfo/relation/detail/4/name,poiInfo/relation/detail/4/category,poiInfo/relation/detail/4/xPos,poiInfo/relation/detail/4/yPos,poiInfo/relation/detail/5/type,poiInfo/relation/detail/5/sid,poiInfo/relation/detail/5/fullName,poiInfo/relation/detail/5/name,poiInfo/relation/detail/5/category,poiInfo/relation/detail/5/xPos,poiInfo/relation/detail/5/yPos,poiInfo/relation/detail/6/type,poiInfo/relation/detail/6/sid,poiInfo/relation/detail/6/fullName,poiInfo/relation/detail/6/name,poiInfo/relation/detail/6/category,poiInfo/relation/detail/6/xPos,poiInfo/relation/detail/6/yPos,poiInfo/relation/detail/7/type,poiInfo/relation/detail/7/sid,poiInfo/relation/detail/7/fullName,poiInfo/relation/detail/7/name,poiInfo/relation/detail/7/category,poiInfo/relation/detail/7/xPos,poiInfo/relation/detail/7/yPos,poiInfo/relation/detail/8/type,poiInfo/relation/detail/8/sid,poiInfo/relation/detail/8/fullName,poiInfo/relation/detail/8/name,poiInfo/relation/detail/8/category,poiInfo/relation/detail/8/xPos,poiInfo/relation/detail/8/yPos,poiInfo/relation/detail/9/type,poiInfo/relation/detail/9/sid,poiInfo/relation/detail/9/fullName,poiInfo/relation/detail/9/name,poiInfo/relation/detail/9/category,poiInfo/relation/detail/9/xPos,poiInfo/relation/detail/9/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,poiInfo/relation,entranceCoords,shortAddress/0,shortAddress/1,skyPanorama,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,shortAddress/2,entranceCoords/walk/3/rep,entranceCoords/walk/3/x,entranceCoords/walk/3/y,entranceCoords/walk/4/rep,entranceCoords/walk/4/x,entranceCoords/walk/4/y,entranceCoords/walk/5/rep,entranceCoords/walk/5/x,entranceCoords/walk/5/y,entranceCoords/walk/6/rep,entranceCoords/walk/6/x,entranceCoords/walk/6/y,categoryPath/1/4,entranceCoords/car/2/rep,entranceCoords/car/2/x,entranceCoords/car/2/y,streetPanorama,categoryPath/0/4,entranceCoords/car,poiInfo/relation/detail
10,21,12923734,곤지암도자공원경기도자박물관,031-799-1500,false,,1,"도시,테마공원",부속시설,222117,222122,222170,1000101,,,,,경기도 광주시 곤지암읍 삼리,,,,곤지암도자<b>공원</b>경기도자박물관,031-799-1500,박물관,비엔날레,생태공원,화려한,도자기체험,234,57b454b19c5abb95cf2b147db05b1850,0,http://ldb.phinf.naver.net/20150206_68/1423208394357LgNsE_JPEG/%B0%E6%B1%E2_%B0%E6%B1%E2%B5%B5%C0%DA%B9%DA%B9%B0%B0%FC_1.JPG?type=m500_500,s,1,1,127.3266660,37.3511182,12,false,D4JSA1AUVfRYZ4M2cEkQUw==,-94.06,10.72,127.3271968,37.3510770,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,https://www.kocef.org/02museum/g02_01.asp,,true,127.3277951,37.352605,,,,,false,매일 09:00~18:00 (1월 1일 휴관) | 월요일 휴무 (국경일과 겹치는 경우 다음날 휴관),"성인(만19세~64세) 3,000 | 초중고생(만7세~18), 군인, 경기도민 2,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,245572.60,nres://marker/00060-00060,nres://marker/00060-00215,,,,,,,,,,true,127.3277951,37.352605,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,751028828,빛고을농촌테마공원,,false,,0,"여행,명소",테마공원,222117,222122,222170,222196,,,,,광주광역시 남구 양과동 1290,,,,빛고을농촌테마<b>공원</b>,,,,,,,41,9faf8789b9c86b8b449fa411cb96e468,0,,s,1,1,126.8663882,35.0837430,12,false,FtxIzCqGxe6wZV6HsLet8Q==,-32.33,9.68,126.8666383,35.0829624,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.8675687,35.0849998,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,10167.09,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,true,126.8675687,35.0849998,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23,1164533605,광주공원노인복지센터,062-674-3374,false,,1,"사회,복지",노인복지,222935,222944,223021,230102,,,,,광주광역시 남구 서동 145-2,광주광역시 남구 서오층석탑2길 1,서동 145-2,,<b>광주공원</b>노인복지센터,062-674-3374,,,,,,0,af1d7364bb3e651ec54c6c4ac05d082b,0,,s,1,1,126.9074592,35.1461996,12,false,xGESmt7h6Z7TbvCBBNRZdQ==,55.10,26.13,126.9073600,35.1460170,30,UDqjHPye0O9MGr6on3ntmw==,106.36,-30.00,126.9063873,35.1465378,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.907466,35.1461,false,126.907328,35.146364,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4381.03,nres://marker/00063-00106,nres://marker/00063-00260,,,,,,,광주 남구,서오층석탑2길 1,,true,126.907466,35.1461,false,126.907328,35.146364,false,126.907725,35.146329,,,,,,,,,,,,,,,false,126.907725,35.146329,,,,
13,24,38676472,양산호수공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,,,,,광주광역시 북구 양산동 288-3,광주광역시 북구 하서로 311,양산동 288-3,,양산호수<b>공원</b>,,연꽃,산책로,음악분수,편안한,데이트,72,af206bb0138d55bd1be0613af9b6bee6,0,http://blogfiles.naver.net/MjAxNzAxMjJfMjcz/MDAxNDg1MDg5MjUyOTMw.HSgVYkoY7XzbGEjPOE4fGV4VxOLsJ8TUPoCFR-OImE8g.WNV9Ji9i-6wYGYXFt7Sod8RIk2nFzd7CtOBOhYvN48Ig.JPEG.tmfdhd2/20170119_171742.jpg#740x443,s,1,1,126.8724082,35.2029660,12,false,mFmaKltRHbAeop1yS6+2FQ==,-102.81,4.53,126.8736368,35.2040726,80,e56BNP3emGwmrRQLPNrmOw==,98.82,-30.00,126.8708344,35.2032089,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3133.39,nres://marker/00050-00096,nres://marker/00050-00237,,,,,,,광주 북구,하서로 311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,25,36948805,투썸플레이스 광주첨단호수공원점,062-971-1470,false,,1,"카페,디저트",카페,220036,220052,220576,221238,222606,222607,1004452,,광주광역시 광산구 쌍암동 654-19,광주광역시 광산구 첨단중앙로182번길 22,쌍암동 654-19,,투썸플레이스 <b>광주</b>첨단호수<b>공원</b>점,062-971-1470,,,,,,14,a189e51daf5fe898f543b8fed7437a47,0,,s,1,1,126.8437109,35.2217755,12,false,97QPtkG4rSZTOF0ZYE+G3w==,-168.90,10.00,126.8437306,35.2218747,120,Pn5cuckTKtlt/SLgWhzM5w==,74.64,-30.00,126.8427811,35.2215195,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.843841,35.221564,,,,,false,매일 09:00~23:00,"티라미수라떼 5,800 | 니트로콜드브루 4,800 | 니트로콜드브루 라떼 5,300 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 카페 모카 5,100 | 카라멜 마키아또 5,600 | 플로팅 라떼 6,000 | 콜드브루 4,500 | 로얄 밀크티 5,500",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5922.55,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,광주 광산구,첨단중앙로182번길 22,,true,126.843667,35.22181,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,26,36948588,카페베네 광주518공원점,062-381-6233,false,,1,"카페,디저트",카페,220036,220052,220576,221307,222606,222607,1004452,,광주광역시 서구 쌍촌동 1271-2,광주광역시 서구 상무민주로 88-1,쌍촌동 1271-2,,카페베네 <b>광주</b>518<b>공원</b>점,062-381-6233,,,,,,7,21e6fef8b2ba67e0b80fa1b031f8e478,0,,s,1,1,126.8595525,35.1584016,12,false,70fPkgWddXccmgWwF3n5nw==,62.04,7.56,126.8594070,35.1583676,85,hjiGGBSRDe7WQQeTy+/ovw==,-66.22,-30.00,126.8608322,35.1578369,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.859722,35.158411,,,,,false,매일 10:00~24:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2278.73,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,광주 서구,상무민주로 88-1,,true,126.859488,35.158449,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,27,30820103,풍암호수공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,,,,,광주광역시 서구 풍암동 460,,,,풍암호수<b>공원</b>,,호수,저수지,시민공원,수수한,나들이,248,fc20c9a541a08581688f3dba638e62ba,0,http://blogfiles.naver.net/MjAxNzEwMjZfMjU3/MDAxNTA4OTgwMTAxNjM1.M0KfBzBS6L7OR7L5MrGdwQPuVlqJtajL2xVhneZh7NYg.5rh1gjXfNrfwTaWIjTR7P5bNiTTmyb0sncC8gXSCHjcg.JPEG.jejujcnc/IMG_9186.JPG#900x600,s,1,1,126.8704246,35.1279641,12,false,,,,,,,MdrptCfLbuvJqLcOfa98rA==,-124.05,-43.60,126.8713912,35.1284852,80,,,,,1,RELA,1.0,30820103,117.9926027,19.6944771,117.9926027,19.6944771,5,19621966,풍암호수공원입구,입구,입구(사람),126.8701419,35.1258850,5,19637036,풍암호수공원입구,입구,입구(사람),126.8722922,35.1259493,5,19616256,풍암호수공원입구,입구,입구(사람),126.8732350,35.1260030,5,19617231,풍암호수공원입구,입구,입구(사람),126.8742000,35.1297917,2,1196711709,풍암호수공원주차장입구,주차장입구,입구(차량),126.8689254,35.1257769,3,1826884220,풍암호수공원주차장출구,주차장출구,출구(차량),126.8679865,35.1255431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,126.8689254,35.1257769,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5232.00,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,false,126.8701419,35.125885,false,126.8722922,35.1259493,false,126.873235,35.126003,,false,126.8742,35.1297917,,,,,,,,,,,,,,,,,
17,28,1460123510,광주공원민방위교육장,,false,,0,"공공,사회기관",민방위재난통제,222935,222936,222953,223065,,,,,광주광역시 남구 구동 21-1,광주광역시 남구 중앙로107번길 15,구동 21-1,,<b>광주공원</b>민방위교육장,,,,,,,0,9a5b4c2482e3c01cc3c6bba06ac37f67,0,,s,1,1,126.9093750,35.1472320,8,false,nsAqxXFLvkG8UZ0CDvufHQ==,-36.59,10.00,126.9094877,35.1470801,120,DvHlgYM17oAIl5yODdbYEg==,89.97,-30.00,126.9063873,35.1472282,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.9100896,35.146787,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4421.64,nres://marker/00063-00106,nres://marker/00063-00260,,,,,,,광주 남구,중앙로107번길 15,,true,126.9100896,35.146787,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29,16022873,수완호수공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,,,,,광주광역시 광산구 장덕동,,,,수완호수<b>공원</b>,,,,,,,96,e3a07f8345d59b58a013b04f8cab720e,0,,s,1,1,126.8203455,35.1892085,12,false,,,,,,,ky8g2SqodVfdbwSoreoSUg==,-78.53,-36.93,126.8244475,35.1886734,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5174.10,nres://marker/00037-00079,nres://marker/00037-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30,18035113,광주공원석재,031-766-2881,false,,1,"기계,장비제조",산업용기계제조,225111,225117,225187,225620,,,,,경기도 광주시 오포읍 매산리 17,,,,<b>광주공원</b>석재,031-766-2881,,,,,,0,184d03ee8531cb22388799bd39d1d2f3,0,,k,1,1,127.2642209,37.3552450,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,false,,,,,,false,,false,,,false,false,false,false,false,,false,,,false,,-1,,245163.78,nres://marker/00060-00035,nres://marker/00060-00189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229979,,
20,31,19699817,5.18자유공원,062-376-5183,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,222117,222118,222136,222183,광주광역시 서구 치평동 1161-6,광주광역시 서구 상무평화로 13,치평동 1161-6,,5.18자유<b>공원</b>,062-376-5183,시민공원,체험학습,잔디밭,평화로운,체험관,174,48ba5f5f33805cd85b85f199729ece18,0,http://ldb.phinf.naver.net/20150831_91/1441010475163pRCCp_JPEG/126172525026627_0.jpg,s,1,1,126.8404980,35.1489763,12,false,VsnMAvd1eKzvuCcm0w2F1A==,16.28,6.15,126.8412785,35.1480770,80,7U0GY9MgBANwGJML2qYCjw==,-99.22,-30.00,126.8438492,35.1495171,124,,,,,1,RELA,1.0,19699817,117.9926027,19.6944771,117.9926027,19.6944771,5,37595168,5.18자유공원입구,입구,입구(사람),126.8412141,35.1481516,5,377286719,5.18자유공원입구,입구,입구(사람),126.8416225,35.1492493,1,16278677,5.18자유공원주차장입구,주차장입구,입구(사람+차량),126.8395898,35.1481716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,126.8395898,35.1481716,,,,,false,매일 09:00~18:00 봄~가을 | 매일 09:00~17:00 겨울,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4223.93,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,광주 서구,상무평화로 13,,true,126.8412141,35.1481516,false,126.8416225,35.1492493,,,,,,,,,,,,,,,,,,,,,,,,
21,32,16280888,풍암생활체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,231762,,,,,광주광역시 서구 풍암동 32-26,,,,풍암생활체육<b>공원</b>,,,,,,,63,a4b502d5234c1396297b5a2bbaeb1210,0,,s,1,1,126.8826126,35.1296105,12,false,Nili3XaLqagXHYCEZ7+Glg==,-20.29,3.93,126.8818250,35.1292704,80,fzcQSktSVqbhjsc259ONfQ==,87.65,-30.00,126.8799973,35.1295013,124,,,,,1,RELA,1.0,16280888,117.9926027,19.6944771,117.9926027,19.6944771,5,16280096,풍암생활체육공원입구,입구,입구(사람),126.8842214,35.1290189,1,1472078043,풍암생활체육공원주차장입구,주차장입구,입구(사람+차량),126.8844067,35.1291321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,126.8844067,35.1291321,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5090.38,nres://marker/00061-00110,nres://marker/00061-00265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,33,19614079,효사랑복지문화센타,,false,,0,"사회,복지",노인복지,222935,222944,223021,230102,,,,,광주광역시 남구 서동 137-13,광주광역시 남구 서오층석탑길 42,서동 137-13,,효사랑복지문화센타,,,,,,,0,1e36e50ef50411a8577d5f0573c460c6,0,,s,1,1,126.9074102,35.1477673,12,false,cPouQbEBRjjDkjrtk3K+FA==,86.49,10.00,126.9072263,35.1477642,120,Zn6LGUhj4wxxFdRDsv4KWA==,113.05,-30.00,126.9063873,35.1482048,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.907252,35.147701,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4252.52,nres://marker/00063-00106,nres://marker/00063-00260,,,,,,,광주 남구,서오층석탑길 42,,true,126.907252,35.147701,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,34,19589193,송정공원,062-940-8514,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,222117,222118,222136,222183,광주광역시 광산구 신촌동 산4,,,,송정<b>공원</b>,062-940-8514,공원,산책로,도서관,,,38,04d42fefba9d943f5715b5a8858bddf9,0,http://blogfiles.naver.net/20151220_209/gongju7000_14506062309628ar6n_JPEG/DSC01566.JPG#776x1203,s,1,1,126.8010091,35.1480715,12,false,idxfhEvbWQr+G6rQ57oDog==,-149.71,0.14,126.8028032,35.1490698,80,GhkwJJixgVyBetucDAFZfg==,98.20,-30.00,126.7986145,35.1484146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.798862,35.1479424,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,7317.03,nres://marker/00055-00097,nres://marker/00055-00239,,,,,,,,,,true,126.798862,35.1479424,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,35,16284537,광주공원장로교회,,false,,0,종교,개신교,221845,221849,221869,221906,,,,,광주광역시 남구 서동 137-13,광주광역시 남구 서오층석탑길 42,서동 137-13,,<b>광주공원</b>장로교회,,,,,,,0,56fd53002e01aebdac9f379158170004,0,,s,1,1,126.9073352,35.1476910,12,false,GG+j4jyz9BNWECQQnmRvKw==,46.41,2.63,126.9072423,35.1476642,33,DvHlgYM17oAIl5yODdbYEg==,63.39,-30.00,126.9063873,35.1472282,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.907252,35.147701,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4253.74,nres://marker/00063-00046,nres://marker/00063-00199,,,,,,,광주 남구,서오층석탑길 42,,true,126.907252,35.147701,,,,,,,,,,,,,,,,,,,,,,,,,221925,,
25,36,1389492982,메가커피 광주518공원점,062-381-0035,false,,1,"카페,디저트",카페,220036,220052,220576,231192,,,,,광주광역시 서구 쌍촌동 1334-5 1층,광주광역시 서구 상무민주로 99-1 1층,쌍촌동 1334-5 1층,,메가커피 <b>광주</b>518<b>공원</b>점,062-381-0035,,,,,,2,56efcdbc8927b4236eadf90b20038cb2,0,http://ldb.phinf.naver.net/20190928_283/1569652075295uq0pr_PNG/1kbLzwfazIZSyVxms_UBkudm.png,s,1,1,126.8592145,35.1594375,12,false,1d2yurTcHr7Fbbi8es4DTA==,-106.58,13.31,126.8593413,35.1594970,83,oU50LD4q3A+BjGTVuhUELw==,-77.85,-30.00,126.8608322,35.1590881,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.859042,35.159457,,,,,false,평일 08:00~22:30 | 주말 09:00~22:30,"아메리카노 1,500 | 아이스아메리카노 2,000 | 퐁크러쉬 3,900 | 쿠키프라페 3,900 | 메가에이드 3,900 | 메가리카노 3,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,2206.32,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,광주 서구,상무민주로 99-1,,true,126.859261,35.159484,,,,,,,1층,,,,,,,,,,,,,,,,,,,,
26,37,358397434,올리브영 광주518공원점,062-383-5290,false,,1,"쇼핑,유통",드럭스토어,223563,223564,223597,223872,222606,222607,1004452,,광주광역시 서구 쌍촌동 1271-1,광주광역시 서구 상무민주로 90,쌍촌동 1271-1,,올리브영 <b>광주</b>518<b>공원</b>점,062-383-5290,,,,,,0,f9a0eaa4dee98d17a9917caa6f3d1603,0,http://ldb.phinf.naver.net/20200915_77/1600147046323Yq87G_JPEG/vWy5iC9upShfMDfJx15eerKC.JPG.jpg,s,1,1,126.8595877,35.1585559,12,false,hL1dtZAgbUXPZTI1nmt3JQ==,117.24,10.88,126.8594123,35.1586598,75,oU50LD4q3A+BjGTVuhUELw==,-113.21,-30.00,126.8608322,35.1590881,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.859487,35.158518,,,,,false,"매일 11:00~22:00 주말, 공휴일동일",,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2263.04,nres://marker/00063-00098,nres://marker/00063-00252,,,,,,,광주 서구,상무민주로 90,,true,126.859487,35.158518,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,38,13403351,뚜레쥬르 광주518공원점,062-382-5025,false,,1,"카페,디저트",베이커리,220036,220052,220564,221172,222606,222607,1004452,,광주광역시 서구 쌍촌동 1334-7,광주광역시 서구 상무민주로 97,쌍촌동 1334-7,,뚜레쥬르 <b>광주</b>518<b>공원</b>점,062-382-5025,,,,,,12,f18c33ca8a0f0c07e017db9ba51f7124,0,http://ldb.phinf.naver.net/20161006_118/1475739820421mwTGR_PNG/176956567359792_0.png,s,1,1,126.8591749,35.1591440,12,false,qyVemH74kz3CWz7kBP1uNA==,-123.55,11.69,126.8593195,35.1592041,58,oU50LD4q3A+BjGTVuhUELw==,-88.11,-30.00,126.8608322,35.1590881,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.tlj.co.kr/,,true,126.859019,35.159185,,,,,false,매일 06:00~23:30,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2234.07,nres://marker/00063-00013,nres://marker/00063-00166,,,,,,,광주 서구,상무민주로 97,,true,126.859229,35.159204,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,39,37446160,광주공원묘원,031-762-0077,false,,1,장례,묘지,223267,223280,223376,229172,,,,,경기도 광주시 오포읍 매산리 산17,,,,<b>광주공원</b>묘원,031-762-0077,공원,편안한,쾌적한,,,0,50ce9e77e776b05a3499ea9e55a5fef2,0,,s,1,1,127.2740739,37.3457585,11,false,0ur2uJK9dKBRDXb4jXbRqg==,66.48,10.00,127.2733880,37.3454595,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.cetpark.com/,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,244247.38,nres://marker/00049-00028,nres://marker/00049-00162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
