index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama,skyPanorama,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,poiInfo/relation,entranceCoords,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,categoryPath/1/3,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,poiInfo/relation/detail/4/type,poiInfo/relation/detail/4/sid,poiInfo/relation/detail/4/fullName,poiInfo/relation/detail/4/name,poiInfo/relation/detail/4/category,poiInfo/relation/detail/4/xPos,poiInfo/relation/detail/4/yPos,poiInfo/relation/detail/5/type,poiInfo/relation/detail/5/sid,poiInfo/relation/detail/5/fullName,poiInfo/relation/detail/5/name,poiInfo/relation/detail/5/category,poiInfo/relation/detail/5/xPos,poiInfo/relation/detail/5/yPos,poiInfo/relation/detail/6/type,poiInfo/relation/detail/6/sid,poiInfo/relation/detail/6/fullName,poiInfo/relation/detail/6/name,poiInfo/relation/detail/6/category,poiInfo/relation/detail/6/xPos,poiInfo/relation/detail/6/yPos,poiInfo/relation/detail/7/type,poiInfo/relation/detail/7/sid,poiInfo/relation/detail/7/fullName,poiInfo/relation/detail/7/name,poiInfo/relation/detail/7/category,poiInfo/relation/detail/7/xPos,poiInfo/relation/detail/7/yPos,poiInfo/relation/detail/8/type,poiInfo/relation/detail/8/sid,poiInfo/relation/detail/8/fullName,poiInfo/relation/detail/8/name,poiInfo/relation/detail/8/category,poiInfo/relation/detail/8/xPos,poiInfo/relation/detail/8/yPos,poiInfo/relation/detail/9/type,poiInfo/relation/detail/9/sid,poiInfo/relation/detail/9/fullName,poiInfo/relation/detail/9/name,poiInfo/relation/detail/9/category,poiInfo/relation/detail/9/xPos,poiInfo/relation/detail/9/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk,shortAddress/0,shortAddress/1,entranceCoords/car/2/rep,entranceCoords/car/2/x,entranceCoords/car/2/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,shortAddress/2,poiInfo/relation/detail
10,11,250957178,무등산국립공원,,false,,0,"여행,명소",국립공원,222117,222118,222136,222184,광주광역시 북구 금곡동,,,,무등산국립<b>공원</b>,,,,,,,214,eae11d515e1d14ae12af78c3f93bb85b,0,,s,1,1,126.9927680,35.1256089,9,false,,,,,,,1,RELA,1.0,250957178,117.9926027,19.6944771,117.9926027,19.6944771,1,16267967,무등산국립공원입구,입구,입구(사람+차량),126.9560008,35.1340375,1,16313332,무등산국립공원입구,입구,입구(사람+차량),126.9874380,35.1456800,true,1,,,,false,,false,,false,,,false,126.9560008,35.1340375,false,126.9560008,35.1340375,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,37481.51,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,eEwVSnDlCqkWfyO+Q9UTQg==,90.14,0.38,127.0026283,35.1209950,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,126.987438,35.14568,,,,,,,false,126.987438,35.14568,,,,,
11,12,19707480,너릿재공원,061-379-3501,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,광주광역시 동구 선교동,,,,너릿재<b>공원</b>,061-379-3501,공원,전망대,산책로,나들이,,34,19b7836944c0343fb65052db27596ec2,0,http://ldb.phinf.naver.net/20150831_149/1441010812736RynQm_JPEG/126173553352468_0.jpg,s,1,1,126.9541204,35.0804002,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,34925.98,nres://marker/00055-00097,nres://marker/00055-00239,,,,,,,222117,222118,222136,222183,ZI5DcVL7PV9PNPagGaOQQg==,33.89,4.30,126.9530936,35.0801405,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,31793865,무등산국립공원사무소,062-227-1187,false,,1,"여행,명소",국립공원,222117,222118,222136,222184,광주광역시 동구 운림동 438,광주광역시 동구 동산길7번길 5 무등산국립공원사무소,운림동 438,,무등산국립<b>공원</b>사무소,062-227-1187,,,,,,39,3c9684a3db00aff34c0afdcdefeb30df,0,,s,1,1,126.9478272,35.1314250,8,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://mudeung.knps.or.kr/,,true,126.948129,35.1305406,true,126.948129,35.1305406,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,33346.31,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,YH007y4qq031aVGE0vEROA==,-13.43,2.90,126.9481988,35.1304896,80,5YtO2QvSr54+LDWYG45hog==,101.61,-30.00,126.9460602,35.1317863,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,광주 동구,동산길7번길 5,,,,,,,,,,무등산국립공원사무소,
13,14,38488211,한새봉농업생태공원,,false,,0,"여행,명소","자연,생태공원",222117,222118,222136,222186,광주광역시 북구 일곡동,,,,한새봉농업생태<b>공원</b>,,,,,,,19,57744b0757b71505806a735d396c0c1d,0,,s,1,1,126.8932921,35.2123941,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,28802.59,nres://marker/00034-00078,nres://marker/00034-00198,,,,,,,,,,,lvZ0cfRvWGFLf6AVt/6a2A==,-0.76,6.48,126.8933605,35.2121786,80,nshBP+GEfS5fNzj+Ag/9BA==,-88.78,-30.00,126.8972244,35.2123070,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,20712940,용산지구생태습지공원산책로,,false,,0,자연공원,부속시설,222117,222118,222136,229253,광주광역시 북구 용전동 566,,,,용산지구생태습지<b>공원</b>산책로,,,,,,,6,08942070cc8950ebbddfcd90fede324c,0,,s,1,1,126.8934626,35.2490162,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,29898.86,nres://marker/00058-00110,nres://marker/00058-00265,,,,,,,,,,,kGAtXZld2/l4QCXnYzoZdA==,-47.32,10.00,126.8939412,35.2485746,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,1961107204,달뫼자연마당,,false,,0,"여행,명소","자연,생태공원",222117,222118,222136,222186,광주광역시 남구 월산동 산6-1,광주광역시 남구 수박등로48번길 25,월산동 산6-1,,달뫼자연마당,,,,,,,1,650861308e955bb78589e303615bb7f7,0,http://ldb.phinf.naver.net/20180619_201/1529405290694F1yvx_JPEG/qeLOfRa-5zhncG_9LWJArsfO.jpg,s,1,1,126.8971159,35.1427530,8,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,28640.87,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,,o8ZWQ3TXxZykl5664jn6BA==,43.64,10.00,126.8966421,35.1422558,120,RZTzPB+jGVk6+Qt27mWSDg==,115.99,-30.00,126.8966675,35.1429710,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,광주 남구,수박등로48번길 25,,,,,,,,,,,
16,17,19699777,5.18기념공원,062-376-5197,false,,1,"여행,명소",테마공원,222117,222122,222170,222196,광주광역시 서구 쌍촌동 1268,광주광역시 서구 상무민주로 61,쌍촌동 1268,,5.18기념<b>공원</b>,062-376-5197,시민공원,산책로,야경,편안한,휴식,256,8b3d91a4dfc7f7d75844338aae307e4d,0,http://ldb.phinf.naver.net/20150831_113/1441010464064IXs3T_JPEG/126172516752620_0.jpg,s,1,1,126.8566910,35.1550790,12,false,,,,,,,1,RELA,1.0,19699777,117.9926027,19.6944771,117.9926027,19.6944771,4,209111761,무각사입구,입구,입구(사람+차량),126.8551328,35.1526728,5,19612728,5.18기념공원입구,입구,입구(사람),126.8551500,35.1536667,true,1,,,,false,,false,,false,,,true,126.8568622,35.1587516,,,,false,,입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,24900.47,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,,BZpwIeFIjYQjigFfv/KgTA==,0.73,-1.34,126.8561071,35.1531667,80,LfTrivTisKXHxXpJlnLBoQ==,-84.05,-30.00,126.8608322,35.1546440,124,5,19618471,5.18기념문화센터입구,입구,입구(사람),126.8560889,35.1586667,5,19613766,5.18기념공원입구,입구,입구(사람),126.8580889,35.1531250,5,751039754,5.18기념문화센터입구,입구,입구(사람),126.8591696,35.1587276,5,19657469,5.18기념공원입구,입구,입구(사람),126.8552164,35.1562509,5,19620735,5.18기념공원입구,입구,입구(사람),126.8592160,35.1567331,5,19620737,5.18기념공원입구,입구,입구(사람),126.8591750,35.1577583,1,16273705,5.18기념공원제1주차장입구,제1주차장입구,입구(사람+차량),126.8568622,35.1587516,4,286735057,5.18기념공원주차장입구,주차장입구,입구(사람+차량),126.8584886,35.1544165,false,126.8551328,35.1526728,,광주 서구,상무민주로 61,false,126.8584886,35.1544165,,,,,,,,
17,18,16305027,중외공원문화산책로,,false,,0,자연공원,부속시설,222117,222118,222136,229253,광주광역시 북구 운암동,,,,중외<b>공원</b>문화산책로,,,,,,,11,90a76802754776f0f62c4887a65e21e0,0,,s,1,1,126.8827879,35.1813511,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,27363.82,nres://marker/00058-00110,nres://marker/00058-00265,,,,,,,,,,,f1iWKplQKkprNB2MU8PogA==,-50.98,10.00,126.8828043,35.1813378,120,TLR88rOQTPPPQPDj/Rf64Q==,92.51,-30.00,126.8788910,35.1815186,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,20770749,첨단종합운동장산책로,,false,,0,자연공원,부속시설,222117,222118,222136,229253,광주광역시 광산구 산월동,,,,첨단종합운동장산책로,,,,,,,2,933f9f83b984347ed01b94b68a5fab9d,0,,s,1,1,126.8539387,35.2003350,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,25035.23,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,,,,,,,oNCFfamUnXa7IatNLu4pUA==,91.37,-30.00,126.8523941,35.2003708,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,20770753,영산강7공구산책로,,false,,0,자연공원,부속시설,222117,222118,222136,229253,광주광역시 광산구 신가동,,,,영산강7공구산책로,,,,,,,0,c24233f6aa9f3612c9d97e802530ab81,0,,s,1,1,126.8364485,35.1739302,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,23098.69,nres://marker/00058-00110,nres://marker/00058-00265,,,,,,,,,,,AaQo5XrPHeVGxaoFISsy9Q==,127.20,10.00,126.8355504,35.1746103,120,D+gHQpcDbr73LxZQ7fMbHA==,88.59,-30.00,126.8352814,35.1739006,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
